text,label
klein  charming in comedies like american pie and deadon in election  ,1
be fruitful ,1
soulful and ,1
the proud warrior that still lingers in the souls of these characters ,1
covered earlier and much better ,0
wise and powerful ,1
a powerful and reasonably fulfilling gestalt ,1
smart and newfangled ,1
it too is a bomb  ,0
guilty about it ,0
while the importance of being earnest offers opportunities for occasional smiles and chuckles ,1
stevens  vibrant creative instincts ,1
great artistic significance ,1
what does nt this film have that an impressionable kid could nt stand to hear  ,1
working from a surprisingly sensitive script cowritten by gianni romoli  ,1
eight crazy nights is a total misfire  ,0
weighty revelations  flowery dialogue  and nostalgia for the past ,1
the campy results make mel brooks  borscht belt schtick look sophisticated  ,1
demonstrate how desperate the makers of this  we  are  doingitfor  thecash  sequel were ,0
accompanied by the sketchiest of captions  ,0
a firstclass  thoroughly involving b movie that effectively combines two surefire  beloved genres  the prison flick and the fight film ,1
than indecent proposal ,1
an mtv  sugar hysteria ,1
showcases tom hanks as a depression era hitman in this dark tale of revenge ,1
does nt deliver a great story  nor ,0
with results that are sometimes bracing  sometimes baffling and quite often  and in unexpected ways  touching ,1
distinct rarity ,1
hate yourself ,0
the mystery of enigma is how a rich historical subject  combined with so much firstrate talent  could have yielded such a flat  plodding picture  ,0
unabashedly romantic picture ,1
that flow through the hollywood pipeline without a hitch ,1
be killed ,0
it  will probably be in video stores by christmas  ,0
the pristine camerawork ,1
terrific  sweatypalmed fun ,1
takes hold ,1
check this one out ,1
is too bad that this likable movie is nt more accomplished  ,1
a moving and weighty depiction of one family ,1
bighearted and frequently ,1
acceptable  occasionally very enjoyable ,1
take a complete moron to foul up a screen adaptation of oscar wilde s classic satire ,0
a saga of the ups and downs of friendships ,1
 beloved genres ,1
delicious and delicately ,1
the huskies are beautiful ,1
joyless ,0
than this unexpectedly moving meditation on love  history  memory  resistance and artistic transcendence ,1
burning ,0
inadvertent ones ,0
hollow tribute ,0
the threed vistas from orbit  with the space station suspended like a huge set of wind chimes over the great blue globe  are stanzas of breathtaking  aweinspiring visual poetry  ,1
astonishing   frames  profound ethical and philosophical questions in the form of dazzling pop entertainment ,1
are no special effects  and no hollywood endings  ,0
there s a scientific law to be discerned here that producers would be well to heed ,0
we have no idea what in creation is going on ,0
i have always appreciated a smartly written motion picture  ,1
readymade midnight movie ,1
to the movie s contrived  lame screenplay and listless direction ,0
a powerful one thousand nine hundred and fiftyseven drama ,1
a thirdperson story now  told by hollywood  and much more ordinary for it ,0
nosurprise series ,0
extra effort to see an artist  still committed to growth in his ninth decade  change while remaining true to his principles ,1
 nickelodeonesque kiddie flick ,1
offers no new insight ,0
disjointed ,0
combined with indoctrinated prejudice ,0
exploitation film ,0
who needs mindbending drugs when they can see this  the final part of the  qatsi  trilogy  directed by godfrey reggio  with music by philip glass  ,1
sly  sophisticated and surprising  ,1
for a guy who has waited three years with breathless anticipation for a new hal hartley movie to pore over  no such thing is a big letdown  ,0
pale successor ,0
still want my money back  ,0
to the filmmakers  ivan is a prince of a fellow  but he comes across as shallow and glib though not meanspirited  and there s no indication that he s been responsible for putting together any movies of particular value or merit  ,0
as terrible as the synergistic impulse that created it ,0
obnoxious adults ,0
every joke is repeated at least  ,0
for nearly three hours ,1
hugescreen ,1
appears not to have been edited at all ,0
a buoyant romantic comedy about friendship  love  and the truth ,1
seem like such a bore ,0
two thousand and two s first great film ,1
amy and matthew have a bit of a phony relationship  but ,0
classy ,1
clunky tvmovie approach ,0
independent film ,1
with drama  romance  tragedy  bravery  political intrigue  partisans and sabotage ,1
more revealing  more emotional and more surprising  ,1
wo nt have any trouble getting kids to eat up these veggies ,1
ingenious and ,1
outrageous  ingenious ,1
though it pretends to expose the life of male hustlers ,0
a man whose engaging manner and flamboyant style made him a truly largerthanlife character ,1
is unconvincing soap opera that tornatore was right to cut  ,0
the most purely enjoyable and satisfying evenings ,1
demonstrates a vivid imagination and an impressive style that result in some terrific setpieces ,1
gentle and biting ,1
of dumb drug jokes and predictable slapstick ,0
a movie with depth ,1
