text,label
klein  charming in comedies like american pie and deadon in election  ,1
be fruitful ,1
soulful and ,1
the proud warrior that still lingers in the souls of these characters ,1
covered earlier and much better ,0
wise and powerful ,1
a powerful and reasonably fulfilling gestalt ,1
smart and newfangled ,1
it too is a bomb  ,0
guilty about it ,0
while the importance of being earnest offers opportunities for occasional smiles and chuckles ,1
stevens  vibrant creative instincts ,1
great artistic significance ,1
what does nt this film have that an impressionable kid could nt stand to hear  ,1
working from a surprisingly sensitive script cowritten by gianni romoli  ,1
eight crazy nights is a total misfire  ,0
weighty revelations  flowery dialogue  and nostalgia for the past ,1
the campy results make mel brooks  borscht belt schtick look sophisticated  ,1
demonstrate how desperate the makers of this  we  are  doingitfor  thecash  sequel were ,0
accompanied by the sketchiest of captions  ,0
a firstclass  thoroughly involving b movie that effectively combines two surefire  beloved genres  the prison flick and the fight film ,1
than indecent proposal ,1
an mtv  sugar hysteria ,1
showcases tom hanks as a depression era hitman in this dark tale of revenge ,1
does nt deliver a great story  nor ,0
with results that are sometimes bracing  sometimes baffling and quite often  and in unexpected ways  touching ,1
distinct rarity ,1
hate yourself ,0
the mystery of enigma is how a rich historical subject  combined with so much firstrate talent  could have yielded such a flat  plodding picture  ,0
unabashedly romantic picture ,1
that flow through the hollywood pipeline without a hitch ,1
be killed ,0
it  will probably be in video stores by christmas  ,0
the pristine camerawork ,1
terrific  sweatypalmed fun ,1
takes hold ,1
check this one out ,1
is too bad that this likable movie is nt more accomplished  ,1
a moving and weighty depiction of one family ,1
bighearted and frequently ,1
acceptable  occasionally very enjoyable ,1
take a complete moron to foul up a screen adaptation of oscar wilde s classic satire ,0
a saga of the ups and downs of friendships ,1
 beloved genres ,1
delicious and delicately ,1
the huskies are beautiful ,1
joyless ,0
than this unexpectedly moving meditation on love  history  memory  resistance and artistic transcendence ,1
burning ,0
inadvertent ones ,0
